Actual,Predicted,Probability
1,1,0.8825448907825205
0,1,0.7416979331057463
0,0,0.04049691871319897
1,1,0.5767533708481186
1,1,0.5313526901423669
0,0,0.007125945818161007
0,0,0.05068589341444766
1,1,0.5498565953063832
1,1,0.5289313647173419
0,0,0.3322753528775328
1,1,0.7420814814923831
0,0,0.02876221955116851
1,1,0.8979660843724433
0,1,0.7605945938648035
1,1,0.8252205578928241
0,0,0.1398120271977154
0,0,0.2347644586869311
1,1,0.9047449950748325
0,0,0.2843400468250108
1,1,0.9434448471059427
1,1,0.683482731102167
0,1,0.5490743127591609
1,0,0.032969589309508905
1,1,0.9455007963815771
0,0,0.04330034468157155
0,0,0.0382043280322636
0,1,0.9788077428158042
0,1,0.695474510256181
0,0,0.017313494314951775
1,1,0.6379654651457666
1,1,0.8373148488469042
1,1,0.9538270364878032
1,1,0.9295570793921796
1,1,0.8090842059699126
1,1,0.9760904158901064
1,1,0.5033153477172235
0,1,0.5372078045511722
1,1,0.9888052346692645
0,0,0.22404283323561572
0,0,0.07351136570913382
0,0,0.23163510485500383
0,0,0.045046681075625185
1,0,0.46900149554568715
0,1,0.5489735712451982
0,0,0.01900255482990792
0,1,0.5070725459802484
1,1,0.9225734574577177
0,0,0.011395092947871777
1,1,0.8087406542069668
0,1,0.9200538623143889
0,1,0.5830037173831055
0,0,0.0430492106165393
0,0,0.00102302855207396
1,1,0.6330484916924095
0,1,0.6622685284016733
0,0,0.03990770909779245
1,1,0.5030773773079975
1,1,0.892053764044401
0,0,0.3913096257690558
1,0,0.10653487287056909
1,1,0.9284108706497941
